X;CountryCode;RegionCode
Aruba;ABW;LAM
Afghanistan;AFG;ROW
Angola;AGO;ROW
Anguilla;AIA;LAM
Aland Islands;ALA;EUR
Albania;ALB;ROW
Andorra;AND;ROW
United Arab Emirates;ARE;ROW
Argentina;ARG;LAM
Armenia;ARM;ROW
American Samoa;ASM;ROW
Antarctica;ATA;LAM
French Southern Territories;ATF;ROW
Antigua and Barbuda;ATG;LAM
Australia;AUS;ROW
Austria;AUT;EUR
Azerbaijan;AZE;ROW
Burundi;BDI;ROW
Belgium;BEL;EUR
Benin;BEN;ROW
Bonaire, Sint Eustatius and Saba;BES;LAM
Burkina Faso;BFA;ROW
Bangladesh;BGD;ROW
Bulgaria;BGR;EUR
Bahrain;BHR;ROW
Bahamas;BHS;LAM
Bosnia and Herzegovina;BIH;ROW
Saint Barthelemy;BLM;LAM
Belarus;BLR;ROW
Belize;BLZ;LAM
Bermuda;BMU;LAM
Bolivia, Plurinational State of;BOL;LAM
Brazil;BRA;BRA
Barbados;BRB;LAM
Brunei Darussalam;BRN;ROW
Bhutan;BTN;ROW
Bouvet Island;BVT;LAM
Botswana;BWA;ROW
Central African Republic;CAF;ROW
Canada;CAN;ROW
Cocos (Keeling) Islands;CCK;ROW
China;CHN;CHA
Switzerland;CHE;ROW
Chile;CHL;LAM
Cote d Ivoire;CIV;ROW
Cameroon;CMR;ROW
Congo, the Democratic Republic of the;COD;ROW
Congo;COG;ROW
Cook Islands;COK;ROW
Colombia;COL;LAM
Comoros;COM;ROW
Cape Verde;CPV;ROW
Costa Rica;CRI;LAM
Cuba;CUB;LAM
Curacao;CUW;LAM
Christmas Island;CXR;ROW
Cayman Islands;CYM;LAM
Cyprus;CYP;EUR
Czech Republic;CZE;EUR
Germany;DEU;EUR
Djibouti;DJI;ROW
Dominica;DMA;LAM
Denmark;DNK;EUR
Dominican Republic;DOM;LAM
Algeria;DZA;ROW
Ecuador;ECU;LAM
Egypt;EGY;ROW
Eritrea;ERI;ROW
Western Sahara;ESH;ROW
Spain;ESP;EUR
Estonia;EST;EUR
Ethiopia;ETH;ROW
Finland;FIN;EUR
Fiji;FJI;ROW
Falkland Islands (Malvinas);FLK;LAM
France;FRA;EUR
Faroe Islands;FRO;EUR
Micronesia, Federated States of;FSM;ROW
Gabon;GAB;ROW
United Kingdom;GBR;EUR
Georgia;GEO;ROW
Guernsey;GGY;EUR
Ghana;GHA;ROW
Gibraltar;GIB;EUR
Guinea;GIN;ROW
Guadeloupe;GLP;LAM
Gambia;GMB;ROW
Guinea-Bissau;GNB;ROW
Equatorial Guinea;GNQ;ROW
Greece;GRC;EUR
Grenada;GRD;LAM
Greenland;GRL;ROW
Guatemala;GTM;LAM
French Guiana;GUF;LAM
Guam;GUM;ROW
Guyana;GUY;LAM
Hong Kong;HKG;CHA
Heard Island and McDonald Islands;HMD;ROW
Honduras;HND;LAM
Croatia;HRV;EUR
Haiti;HTI;LAM
Hungary;HUN;EUR
Indonesia;IDN;ROW
Isle of Man;IMN;EUR
India;IND;ROW
British Indian Ocean Territory;IOT;ROW
Ireland;IRL;EUR
Iran, Islamic Republic of;IRN;ROW
Iraq;IRQ;ROW
Iceland;ISL;ROW
Israel;ISR;ROW
Italy;ITA;EUR
Jamaica;JAM;LAM
Jersey;JEY;EUR
Jordan;JOR;ROW
Japan;JPN;ROW
Kazakhstan;KAZ;ROW
Kenya;KEN;ROW
Kyrgyzstan;KGZ;ROW
Cambodia;KHM;ROW
Kiribati;KIR;ROW
Saint Kitts and Nevis;KNA;LAM
Korea, Republic of;KOR;ROW
Kuwait;KWT;ROW
Lao People's Democratic Republic;LAO;ROW
Lebanon;LBN;ROW
Liberia;LBR;ROW
Libya;LBY;ROW
Saint Lucia;LCA;LAM
Liechtenstein;LIE;ROW
Sri Lanka;LKA;ROW
Lesotho;LSO;ROW
Lithuania;LTU;EUR
Luxembourg;LUX;EUR
Latvia;LVA;EUR
Macao;MAC;CHA
Saint Martin (French part);MAF;LAM
Morocco;MAR;ROW
Monaco;MCO;ROW
Moldova, Republic of;MDA;ROW
Madagascar;MDG;ROW
Maldives;MDV;ROW
Mexico;MEX;LAM
Marshall Islands;MHL;ROW
Macedonia, the former Yugoslav Republic of;MKD;ROW
Mali;MLI;ROW
Malta;MLT;EUR
Myanmar;MMR;ROW
Montenegro;MNE;ROW
Mongolia;MNG;ROW
Northern Mariana Islands;MNP;ROW
Mozambique;MOZ;ROW
Mauritania;MRT;ROW
Montserrat;MSR;LAM
Martinique;MTQ;LAM
Mauritius;MUS;ROW
Malawi;MWI;ROW
Malaysia;MYS;ROW
Mayotte;MYT;ROW
Namibia;NAM;ROW
New Caledonia;NCL;ROW
Niger;NER;ROW
Norfolk Island;NFK;ROW
Nigeria;NGA;ROW
Nicaragua;NIC;LAM
Niue;NIU;ROW
Netherlands;NLD;EUR
Norway;NOR;ROW
Nepal;NPL;ROW
Nauru;NRU;ROW
New Zealand;NZL;ROW
Oman;OMN;ROW
Pakistan;PAK;ROW
Panama;PAN;LAM
Pitcairn;PCN;ROW
Peru;PER;LAM
Philippines;PHL;ROW
Palau;PLW;ROW
Papua New Guinea;PNG;ROW
Poland;POL;EUR
Puerto Rico;PRI;LAM
Korea, Democratic People's Republic of;PRK;ROW
Portugal;PRT;EUR
Paraguay;PRY;LAM
Palestine, State of;PSE;ROW
French Polynesia;PYF;ROW
Qatar;QAT;ROW
Reunion;REU;ROW
